minute,people_count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,0
18,2
19,2
20,2
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,2
57,1
58,1
59,1
60,2
61,1
62,1
63,2
64,2
65,1
66,2
67,3
68,0
69,1
70,1
71,0
72,2
73,1
74,1
75,1
