time_s,people,minute
0.003925800323486328,0,0
1.110954999923706,0,0
2.1918320655822754,0,0
3.267817974090576,0,0
4.3498828411102295,0,0
5.429245948791504,0,0
6.510926008224487,0,0
7.5877039432525635,0,0
8.666132926940918,0,0
9.741427898406982,0,0
10.817378044128418,0,0
11.898330688476562,0,0
12.97767972946167,0,0
14.052655696868896,0,0
15.13617992401123,0,0
16.209752798080444,0,0
17.29038381576538,0,0
18.365717887878418,0,0
19.441858053207397,0,0
20.520817756652832,0,0
21.598166942596436,0,0
22.679085969924927,0,0
23.751439809799194,0,0
24.82365894317627,0,0
25.90873384475708,0,0
26.989129781723022,1,0
28.07228374481201,0,0
29.148140907287598,1,0
30.229159832000732,1,0
31.310252904891968,1,0
32.39223790168762,0,0
33.472935914993286,1,0
34.5570547580719,1,0
35.6232807636261,1,0
36.70559787750244,0,0
37.784552812576294,0,0
38.86609482765198,0,0
39.94600963592529,0,0
41.02418088912964,0,0
42.10088086128235,0,0
43.178932905197144,1,0
44.260233879089355,1,0
45.342323780059814,1,0
46.42416000366211,1,0
47.501932859420776,1,0
48.58023285865784,1,0
49.657675981521606,1,0
50.73555397987366,1,0
51.81375193595886,1,0
52.89250087738037,0,0
53.97208070755005,0,0
55.048015832901,0,0
56.13091993331909,0,0
57.20716881752014,0,0
58.28275179862976,0,0
59.35871195793152,0,0
60.435123920440674,0,1
61.51512598991394,0,1
62.59090185165405,1,1
63.668606758117676,1,1
64.75412607192993,1,1
65.83154892921448,0,1
66.8946099281311,0,1
67.97517681121826,0,1
69.05115389823914,1,1
70.13620591163635,0,1
71.21176385879517,0,1
72.2884829044342,0,1
73.36392974853516,0,1
74.4466598033905,0,1
75.52784085273743,0,1
76.60782384872437,0,1
77.68754386901855,0,1
78.7629988193512,0,1
79.84036874771118,0,1
80.91885900497437,0,1
82.00067400932312,0,1
83.08029985427856,0,1
84.15882086753845,0,1
85.23878383636475,0,1
86.32104182243347,0,1
87.40354180335999,0,1
88.4783947467804,0,1
89.55499577522278,0,1
90.62923789024353,0,1
91.70598769187927,1,1
92.78336000442505,0,1
93.86306476593018,0,1
94.93268299102783,0,1
96.00964665412903,0,1
97.08600497245789,0,1
98.14874386787415,0,1
99.22223472595215,0,1
100.29831385612488,0,1
101.37339997291565,0,1
102.44471383094788,0,1
103.5206949710846,0,1
104.59643793106079,0,1
105.67506384849548,0,1
106.7552638053894,0,1
107.837073802948,0,1
108.91193270683289,0,1
109.98926186561584,0,1
111.06471586227417,0,1
112.13968467712402,0,1
113.21974778175354,0,1
114.29355788230896,0,1
115.37379384040833,0,1
116.44906187057495,0,1
117.52365279197693,0,1
118.59963178634644,0,1
119.67416977882385,0,1
