ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,frame_pattern,frame_pattern_lower,frame_pattern_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01 00:00:00,4.106897999999999,3.230604728772088,6.297222550484573,4.106897999999999,4.106897999999999,0.6255414960000001,0.6255414960000001,0.6255414960000001,0.6255414960000001,0.6255414960000001,0.6255414960000001,0.0,0.0,0.0,4.732439496
1970-01-01 00:00:01,4.103096366953073,3.136515429359528,6.295623002281633,4.103096366953073,4.103096366953073,0.6255404230889152,0.6255404230889152,0.6255404230889152,0.6255404230889152,0.6255404230889152,0.6255404230889152,0.0,0.0,0.0,4.728636790041988
1970-01-01 00:00:02,4.099294733906147,3.1471953351249162,6.270893524138005,4.099294733906147,4.099294733906147,0.6255393501762091,0.6255393501762091,0.6255393501762091,0.6255393501762091,0.6255393501762091,0.6255393501762091,0.0,0.0,0.0,4.724834084082356
1970-01-01 00:00:03,4.09549310085922,3.073264905830803,6.281942782927014,4.09549310085922,4.09549310085922,0.6255382772618815,0.6255382772618815,0.6255382772618815,0.6255382772618815,0.6255382772618815,0.6255382772618815,0.0,0.0,0.0,4.7210313781211015
1970-01-01 00:00:04,4.091691467812293,3.3009050910018303,6.4068685401402945,4.091691467812293,4.091691467812293,0.6255372043459325,0.6255372043459325,0.6255372043459325,0.6255372043459325,0.6255372043459325,0.6255372043459325,0.0,0.0,0.0,4.7172286721582255
1970-01-01 00:00:05,4.087889834765367,3.001790103384289,6.1943248983247186,4.087889834765367,4.087889834765367,0.6255361314283621,0.6255361314283621,0.6255361314283621,0.6255361314283621,0.6255361314283621,0.6255361314283621,0.0,0.0,0.0,4.7134259661937286
1970-01-01 00:00:06,4.084088201718441,3.1168596500342503,6.276243236017395,4.084088201718441,4.084088201718441,0.6255350585091702,0.6255350585091702,0.6255350585091702,0.6255350585091702,0.6255350585091702,0.6255350585091702,0.0,0.0,0.0,4.709623260227611
1970-01-01 00:00:07,4.0802865686715135,3.1239867256509624,6.35740271650003,4.0802865686715135,4.0802865686715135,0.625533985588357,0.625533985588357,0.625533985588357,0.625533985588357,0.625533985588357,0.625533985588357,0.0,0.0,0.0,4.705820554259871
1970-01-01 00:00:08,4.0764849356245865,3.118600982540794,6.186883831522374,4.0764849356245865,4.0764849356245865,0.6255329126659226,0.6255329126659226,0.6255329126659226,0.6255329126659226,0.6255329126659226,0.6255329126659226,0.0,0.0,0.0,4.7020178482905095
1970-01-01 00:00:09,4.07268330257766,3.0886616959424806,6.349510809203022,4.07268330257766,4.07268330257766,0.6255318397418665,0.6255318397418665,0.6255318397418665,0.6255318397418665,0.6255318397418665,0.6255318397418665,0.0,0.0,0.0,4.698215142319527
1970-01-01 00:00:10,4.068881669530733,3.0444706553652723,6.138116082475329,4.068881669530733,4.068881669530733,0.6255307668161894,0.6255307668161894,0.6255307668161894,0.6255307668161894,0.6255307668161894,0.6255307668161894,0.0,0.0,0.0,4.694412436346923
1970-01-01 00:00:11,4.065080036483806,3.1074052621129304,6.182750584089188,4.065080036483806,4.065080036483806,0.6255296938888907,0.6255296938888907,0.6255296938888907,0.6255296938888907,0.6255296938888907,0.6255296938888907,0.0,0.0,0.0,4.690609730372697
1970-01-01 00:00:12,4.06127840343688,3.0766851722102335,6.2831279478857125,4.06127840343688,4.06127840343688,0.6255286209599706,0.6255286209599706,0.6255286209599706,0.6255286209599706,0.6255286209599706,0.6255286209599706,0.0,0.0,0.0,4.686807024396851
1970-01-01 00:00:13,4.057476770389953,3.1535398701532027,6.3228872367222095,4.057476770389953,4.057476770389953,0.6255275480294291,0.6255275480294291,0.6255275480294291,0.6255275480294291,0.6255275480294291,0.6255275480294291,0.0,0.0,0.0,4.683004318419382
1970-01-01 00:00:14,4.053675137343027,2.942636069719286,6.198132044617781,4.053675137343027,4.053675137343027,0.6255264750972663,0.6255264750972663,0.6255264750972663,0.6255264750972663,0.6255264750972663,0.6255264750972663,0.0,0.0,0.0,4.679201612440293
1970-01-01 00:00:15,4.0498735042961,3.21970254429906,6.274011978598929,4.0498735042961,4.0498735042961,0.6255254021634822,0.6255254021634822,0.6255254021634822,0.6255254021634822,0.6255254021634822,0.6255254021634822,0.0,0.0,0.0,4.6753989064595824
1970-01-01 00:00:16,4.046071871249174,3.0996947398536654,6.180297974260513,4.046071871249174,4.046071871249174,0.6255243292280768,0.6255243292280768,0.6255243292280768,0.6255243292280768,0.6255243292280768,0.6255243292280768,0.0,0.0,0.0,4.67159620047725
1970-01-01 00:00:17,4.042270238202247,3.1708947732831305,6.249022250008819,4.042270238202247,4.042270238202247,0.62552325629105,0.62552325629105,0.62552325629105,0.62552325629105,0.62552325629105,0.62552325629105,0.0,0.0,0.0,4.667793494493297
1970-01-01 00:00:18,4.0384686051553205,3.070115988252327,6.225223816014659,4.0384686051553205,4.0384686051553205,0.6255221833524017,0.6255221833524017,0.6255221833524017,0.6255221833524017,0.6255221833524017,0.6255221833524017,0.0,0.0,0.0,4.663990788507722
